base      append    benchmark #SAT      #SAT_LS   SAT_bonus ls_time  sat(%)     unsat(%)     all(%)      avg_call(sat unsat all)
glucose   +rx       sat2017   88        20        11        44.27(21.66)   37.92(5.52)    174.77(8.46)   24.28     16.36     94.71
glucose   +rx+rp    sat2017   112       10        33        30.08(18.46)   32.35(4.86)    99.93(8.01)    17.77     14.33     53.37
glucose   +rx+rp+cf sat2017   110       17        29        46.46(22.19)   41.18(5.81)    144.25(9.7)    22.7      15.3      56.73

glucose   +rx       sat2018   113       50        4         27.47(20.66)   42.28(4.94)    113.58(7.97)   11.27     29.62     58.57
glucose   +rx+rp    sat2018   141       47        31        19.19(18.4)    32.01(5.64)    93.25(8.51)    9.46      21.66     48.12
glucose   +rx+rp+cf sat2018   150       53        36        31.92(20.28)   35.94(6.64)    117.87(10.09)  11.43     20.62     51.45

glucose   +rx       sat2019   120       14        8         97.06(10.79)   59.01(6.39)    272.24(6.89)   26.46     17.42     93.84
glucose   +rx+rp    sat2019   134       10        26        60.79(8.67)    36.0(5.14)     206.71(5.78)   22.68     14.59     72.43
glucose   +rx+rp+cf sat2019   140       11        26        85.51(11.82)   44.71(5.95)    267.06(7.68)   20.39     15.51     69.93

glucose   +rx       sat2020   93        30        9         65.51(11.75)   41.92(10.27)   201.45(6.76)   14.94     14.67     55.48
glucose   +rx+rp    sat2020   130       23        37        45.88(10.79)   28.14(9.71)    139.13(6.75)   13.17     9.4       37.12
glucose   +rx+rp+cf sat2020   134       23        37        51.7(11.67)    39.25(10.28)   166.07(7.55)   12.78     10.52     40.96

maple     +rx       sat2017   101       16        9         23.09(7.52)    26.38(2.03)    60.89(3.27)    13.86     11.18     28.17
maple     +rx+rp    sat2017   111       11        15        19.69(10.43)   19.37(2.36)    88.96(4.76)    9.63      6.54      32.09
maple     +rx+rp+cf sat2017   116       6         16        16.98(7.49)    24.45(2.12)    54.35(3.53)    12.59     8.59      28.43

maple     +rx       sat2018   149       52        7         11.0(13.02)    15.06(2.81)    54.04(6.02)    4.8       11.69     33.77
maple     +rx+rp    sat2018   158       56        13        10.29(15.21)   18.14(3.04)    60.4(7.23)     4.84      8.7       27.57
maple     +rx+rp+cf sat2018   162       51        18        12.81(12.53)   18.47(2.94)    55.43(6.24)    6.52      15.62     39.76

maple     +rx       sat2019   146       14        7         23.62(2.67)    19.0(1.98)     80.52(2.11)    12.66     12.94     44.2
maple     +rx+rp    sat2019   155       9         14        19.03(3.17)    38.36(2.53)    121.64(2.88)   8.6       16.59     43.45
maple     +rx+rp+cf sat2019   154       12        15        16.87(3.05)    24.89(2.22)    75.55(2.33)    11.21     17.23     45.3

maple     +rx       sat2020   121       19        13        43.11(6.69)    23.8(5.25)     85.34(4.06)    14.21     10.24     37.79
maple     +rx+rp    sat2020   142       30        29        23.59(6.62)    37.06(6.18)    104.06(4.74)   8.53      11.7      30.9
maple     +rx+rp+cf sat2020   151       23        36        20.26(6.05)    28.8(5.42)     77.35(4.34)    10.95     14.17     36.34
