instance,solver,result,PAR2_time
fcc/41-100899.cnf,glucose,sat,0.377512
fcc/41-101096.cnf,glucose,sat,0.392787
fcc/41-101114.cnf,glucose,sat,0.385398
fcc/41-101373.cnf,glucose,sat,0.379367
fcc/41-102360.cnf,glucose,sat,0.376697
fcc/41-10284.cnf,glucose,sat,0.099849
fcc/41-103062.cnf,glucose,sat,0.42878
fcc/41-103084.cnf,glucose,sat,0.594461
fcc/41-103282.cnf,glucose,sat,0.432798
fcc/41-103473.cnf,glucose,sat,0.433275
fcc/41-103961.cnf,glucose,sat,0.421869
fcc/41-103993.cnf,glucose,sat,0.438589
fcc/41-104059.cnf,glucose,sat,0.407009
fcc/41-104206.cnf,glucose,sat,0.43462
fcc/41-104316.cnf,glucose,sat,0.432762
fcc/41-104443.cnf,glucose,sat,0.736396
fcc/41-105070.cnf,glucose,sat,0.470087
fcc/41-105304.cnf,glucose,sat,0.466694
fcc/41-105611.cnf,glucose,sat,0.45982
fcc/41-105639.cnf,glucose,sat,0.449537
fcc/41-105659.cnf,glucose,sat,1.16865
fcc/41-105721.cnf,glucose,sat,0.451887
fcc/41-105902.cnf,glucose,sat,0.483894
fcc/41-106096.cnf,glucose,sat,0.485037
fcc/41-106181.cnf,glucose,sat,0.469889
fcc/41-106333.cnf,glucose,sat,0.469458
fcc/41-106385.cnf,glucose,sat,0.467703
fcc/41-106793.cnf,glucose,sat,0.493179
fcc/41-106875.cnf,glucose,sat,0.499298
fcc/41-106951.cnf,glucose,sat,0.620328
fcc/41-107078.cnf,glucose,sat,0.500117
fcc/41-107089.cnf,glucose,sat,0.498221
fcc/41-107341.cnf,glucose,sat,0.501638
fcc/41-107548.cnf,glucose,sat,0.50468
fcc/41-107699.cnf,glucose,sat,0.564363
fcc/41-107855.cnf,glucose,sat,0.53106
fcc/41-107929.cnf,glucose,sat,0.492827
fcc/41-108077.cnf,glucose,sat,0.506031
fcc/41-108161.cnf,glucose,sat,0.498564
fcc/41-108202.cnf,glucose,sat,0.508158
fcc/41-108211.cnf,glucose,sat,0.499298
fcc/41-108308.cnf,glucose,sat,0.502219
fcc/41-108424.cnf,glucose,sat,0.490779
fcc/41-108472.cnf,glucose,sat,0.519776
fcc/41-108605.cnf,glucose,sat,0.519736
fcc/41-108652.cnf,glucose,sat,0.546081
fcc/41-108734.cnf,glucose,sat,0.558239
fcc/41-108865.cnf,glucose,sat,0.570431
fcc/41-108901.cnf,glucose,sat,0.570476
fcc/41-108948.cnf,glucose,sat,0.547727
fcc/41-109007.cnf,glucose,sat,0.568826
fcc/41-109143.cnf,glucose,sat,0.552707
fcc/41-109146.cnf,glucose,sat,0.712832
fcc/41-109179.cnf,glucose,sat,0.583694
fcc/41-109244.cnf,glucose,sat,0.572953
fcc/41-109369.cnf,glucose,sat,1.34289
fcc/41-109417.cnf,glucose,sat,0.551103
fcc/41-109476.cnf,glucose,sat,0.557847
fcc/41-109523.cnf,glucose,sat,0.789575
fcc/41-109620.cnf,glucose,sat,0.625391
fcc/41-109802.cnf,glucose,sat,0.576457
fcc/41-109837.cnf,glucose,sat,0.558499
fcc/41-109881.cnf,glucose,sat,0.579678
fcc/41-109976.cnf,glucose,sat,0.596535
fcc/41-110053.cnf,glucose,sat,0.560264
fcc/41-110114.cnf,glucose,sat,0.567933
fcc/41-111089.cnf,glucose,sat,0.605583
fcc/41-111107.cnf,glucose,sat,0.585163
fcc/41-111158.cnf,glucose,sat,0.613208
fcc/41-111375.cnf,glucose,sat,0.615649
fcc/41-111380.cnf,glucose,sat,0.62553
fcc/41-111381.cnf,glucose,sat,0.632582
fcc/41-111519.cnf,glucose,sat,0.609803
fcc/41-111525.cnf,glucose,sat,0.614767
fcc/41-111593.cnf,glucose,sat,0.613414
fcc/41-111605.cnf,glucose,sat,0.605076
fcc/41-111680.cnf,glucose,unsat,0.856095
fcc/41-111731.cnf,glucose,sat,0.643477
fcc/41-111737.cnf,glucose,sat,0.63617
fcc/41-111738.cnf,glucose,sat,0.616759
fcc/41-111771.cnf,glucose,sat,0.620771
fcc/41-111819.cnf,glucose,sat,0.812403
fcc/41-111837.cnf,glucose,sat,0.814186
fcc/41-111915.cnf,glucose,sat,0.587187
fcc/41-111956.cnf,glucose,sat,0.60124
fcc/41-112078.cnf,glucose,sat,0.632676
fcc/41-112144.cnf,glucose,sat,0.797203
fcc/41-112223.cnf,glucose,sat,0.659469
fcc/41-112238.cnf,glucose,sat,0.621645
fcc/41-112249.cnf,glucose,sat,0.695033
fcc/41-112276.cnf,glucose,sat,0.760882
fcc/41-112363.cnf,glucose,sat,0.766009
fcc/41-112365.cnf,glucose,sat,0.865879
fcc/41-112392.cnf,glucose,sat,0.825708
fcc/41-112448.cnf,glucose,sat,0.735033
fcc/41-112524.cnf,glucose,sat,0.830186
fcc/41-112540.cnf,glucose,sat,0.761819
fcc/41-112568.cnf,glucose,sat,0.77952
fcc/41-112685.cnf,glucose,sat,0.738748
fcc/41-113373.cnf,glucose,sat,2.02314
fcc/41-113481.cnf,glucose,sat,2.29612
fcc/41-113491.cnf,glucose,sat,0.984939
fcc/41-113801.cnf,glucose,sat,1.63043
fcc/41-113887.cnf,glucose,sat,2.61768
fcc/41-113944.cnf,glucose,sat,0.974403
fcc/41-113988.cnf,glucose,sat,2.71923
fcc/41-114085.cnf,glucose,sat,3.7722
fcc/41-114096.cnf,glucose,sat,1.98845
fcc/41-114117.cnf,glucose,sat,3.91456
fcc/41-114160.cnf,glucose,sat,1.91909
fcc/41-114169.cnf,glucose,sat,1.42984
fcc/41-114191.cnf,glucose,sat,1.44739
fcc/41-114271.cnf,glucose,sat,1.84392
fcc/41-114290.cnf,glucose,sat,1.38321
fcc/41-114305.cnf,glucose,sat,1.71918
fcc/41-114312.cnf,glucose,sat,2.88599
fcc/41-114346.cnf,glucose,sat,1.48947
fcc/41-114358.cnf,glucose,sat,2.01731
fcc/41-114360.cnf,glucose,sat,2.16791
fcc/41-114416.cnf,glucose,sat,2.20454
fcc/41-114462.cnf,glucose,sat,1.00023
fcc/41-114470.cnf,glucose,sat,1.29145
fcc/41-114471.cnf,glucose,unsat,608.43
fcc/41-114475.cnf,glucose,unsat,656.062
fcc/41-114491.cnf,glucose,sat,1.50225
fcc/41-114504.cnf,glucose,unsat,744.914
fcc/41-114621.cnf,glucose,sat,0.75761
fcc/41-114665.cnf,glucose,sat,0.679453
fcc/41-114703.cnf,glucose,sat,1.13885
fcc/41-114817.cnf,glucose,sat,29.4627
fcc/41-114853.cnf,glucose,sat,1.69258
fcc/41-114879.cnf,glucose,sat,1.59323
fcc/41-114924.cnf,glucose,sat,2.4151
fcc/41-114933.cnf,glucose,sat,10.0337
fcc/41-114945.cnf,glucose,sat,2.64075
fcc/41-115142.cnf,glucose,unsat,1.54034
fcc/41-115268.cnf,glucose,sat,3.41186
fcc/41-115369.cnf,glucose,sat,3.46963
fcc/41-115512.cnf,glucose,sat,19.2223
fcc/41-11563.cnf,glucose,sat,0.124733
fcc/41-115719.cnf,glucose,sat,11.3829
fcc/41-115731.cnf,glucose,sat,1.11861
fcc/41-115736.cnf,glucose,sat,1.46421
fcc/41-115740.cnf,glucose,sat,11.1174
fcc/41-116360.cnf,glucose,sat,2.19843
fcc/41-116408.cnf,glucose,sat,1.18913
fcc/41-116452.cnf,glucose,sat,3.85442
fcc/41-116472.cnf,glucose,sat,11.7146
fcc/41-116585.cnf,glucose,sat,1.74169
fcc/41-116587.cnf,glucose,sat,5.50452
fcc/41-116597.cnf,glucose,sat,2.07171
fcc/41-116600.cnf,glucose,sat,6.55719
fcc/41-116654.cnf,glucose,unsat,11.324
fcc/41-116669.cnf,glucose,sat,2.74902
fcc/41-116701.cnf,glucose,sat,2.66392
fcc/41-116770.cnf,glucose,sat,5.8443
fcc/41-116773.cnf,glucose,sat,4.68304
fcc/41-116814.cnf,glucose,unsat,2.35593
fcc/41-116859.cnf,glucose,sat,2.6022
fcc/41-116946.cnf,glucose,sat,11.6492
fcc/41-117058.cnf,glucose,sat,3.90126
fcc/41-117073.cnf,glucose,sat,4.30939
fcc/41-117137.cnf,glucose,sat,6.35777
fcc/41-117138.cnf,glucose,sat,11.8409
fcc/41-117147.cnf,glucose,sat,20.7068
fcc/41-117151.cnf,glucose,sat,3.17507
fcc/41-117185.cnf,glucose,sat,3.43408
fcc/41-117202.cnf,glucose,sat,1.58987
fcc/41-117213.cnf,glucose,sat,6.01869
fcc/41-117224.cnf,glucose,sat,2.65096
fcc/41-117255.cnf,glucose,sat,4.47139
fcc/41-117333.cnf,glucose,sat,6.80325
fcc/41-117345.cnf,glucose,sat,3.99764
fcc/41-117369.cnf,glucose,sat,7.37147
fcc/41-117373.cnf,glucose,sat,30.9116
fcc/41-117435.cnf,glucose,sat,15.649
fcc/41-117523.cnf,glucose,sat,5.70431
fcc/41-117684.cnf,glucose,sat,12.2457
fcc/41-117750.cnf,glucose,sat,69.877
fcc/41-117753.cnf,glucose,sat,2.06416
fcc/41-117775.cnf,glucose,sat,25.368
fcc/41-117877.cnf,glucose,sat,21.2119
fcc/41-117894.cnf,glucose,sat,74.2562
fcc/41-117920.cnf,glucose,sat,1.552
fcc/41-117922.cnf,glucose,sat,54.844
fcc/41-117941.cnf,glucose,sat,10.9169
fcc/41-117996.cnf,glucose,sat,132.833
fcc/41-118002.cnf,glucose,sat,49.9535
fcc/41-118068.cnf,glucose,sat,26.9191
fcc/41-118071.cnf,glucose,sat,39.5228
fcc/41-118078.cnf,glucose,sat,95.6553
fcc/41-118163.cnf,glucose,sat,316.567
fcc/41-118193.cnf,glucose,sat,29.6459
fcc/41-118216.cnf,glucose,sat,119.41
fcc/41-118233.cnf,glucose,sat,22.4762
fcc/41-118239.cnf,glucose,sat,28.3165
fcc/41-118254.cnf,glucose,sat,119.947
fcc/41-118297.cnf,glucose,sat,45.8643
fcc/41-118320.cnf,glucose,sat,24.2414
fcc/41-118326.cnf,glucose,sat,14.3481
fcc/41-118366.cnf,glucose,sat,312.337
fcc/41-118376.cnf,glucose,sat,18.8995
fcc/41-118378.cnf,glucose,sat,132.747
fcc/41-118413.cnf,glucose,sat,143.932
fcc/41-118421.cnf,glucose,sat,70.6616
fcc/41-118434.cnf,glucose,sat,27.2255
fcc/41-118457.cnf,glucose,sat,371.556
fcc/41-118498.cnf,glucose,sat,245.937
fcc/41-118501.cnf,glucose,sat,118.436
fcc/41-118564.cnf,glucose,sat,152.985
fcc/41-118586.cnf,glucose,sat,6.48325
fcc/41-118596.cnf,glucose,sat,279.807
fcc/41-118649.cnf,glucose,sat,7.23069
fcc/41-118663.cnf,glucose,sat,123.915
fcc/41-118682.cnf,glucose,sat,138.33
fcc/41-118684.cnf,glucose,sat,111.348
fcc/41-118708.cnf,glucose,sat,334.237
fcc/41-118763.cnf,glucose,sat,344.74
fcc/41-118813.cnf,glucose,sat,325.826
fcc/41-118818.cnf,glucose,sat,29.9569
fcc/41-118864.cnf,glucose,sat,252.007
fcc/41-118913.cnf,glucose,sat,163.325
fcc/41-118982.cnf,glucose,sat,274.591
fcc/41-119005.cnf,glucose,sat,501.799
fcc/41-119007.cnf,glucose,sat,34.1448
fcc/41-119058.cnf,glucose,sat,215.325
fcc/41-119095.cnf,glucose,sat,42.4528
fcc/41-119154.cnf,glucose,sat,7.18084
fcc/41-119220.cnf,glucose,sat,232.856
fcc/41-119232.cnf,glucose,sat,21.5282
fcc/41-119234.cnf,glucose,sat,482.483
fcc/41-119236.cnf,glucose,sat,277.882
fcc/41-119248.cnf,glucose,sat,379.406
fcc/41-119254.cnf,glucose,sat,3.49438
fcc/41-119265.cnf,glucose,sat,189.99
fcc/41-119316.cnf,glucose,sat,40.5613
fcc/41-119362.cnf,glucose,sat,367.334
fcc/41-119407.cnf,glucose,sat,46.2717
fcc/41-119467.cnf,glucose,sat,415.632
fcc/41-119494.cnf,glucose,sat,318.275
fcc/41-119520.cnf,glucose,sat,88.0497
fcc/41-119522.cnf,glucose,sat,281.153
fcc/41-119533.cnf,glucose,sat,120.505
fcc/41-119538.cnf,glucose,sat,71.2273
fcc/41-119552.cnf,glucose,sat,262.177
fcc/41-119632.cnf,glucose,sat,117.299
fcc/41-119640.cnf,glucose,sat,459.684
fcc/41-119658.cnf,glucose,sat,350.53
fcc/41-119684.cnf,glucose,sat,2.14
fcc/41-119768.cnf,glucose,sat,659.011
fcc/41-119770.cnf,glucose,sat,307.076
fcc/41-119836.cnf,glucose,sat,491.379
fcc/41-119848.cnf,glucose,sat,492.666
fcc/41-119851.cnf,glucose,sat,187.541
fcc/41-119890.cnf,glucose,sat,473.724
fcc/41-119891.cnf,glucose,sat,447.736
fcc/41-119897.cnf,glucose,sat,310.294
fcc/41-119904.cnf,glucose,sat,522.78
fcc/41-119905.cnf,glucose,sat,549.469
fcc/41-119925.cnf,glucose,sat,330.218
fcc/41-119987.cnf,glucose,sat,518.244
fcc/41-120010.cnf,glucose,sat,107.253
fcc/41-120021.cnf,glucose,sat,362.689
fcc/41-120032.cnf,glucose,sat,340.857
fcc/41-120040.cnf,glucose,sat,437.384
fcc/41-120065.cnf,glucose,sat,149.428
fcc/41-120128.cnf,glucose,sat,795.187
fcc/41-120189.cnf,glucose,sat,524.898
fcc/41-120207.cnf,glucose,sat,414.124
fcc/41-120208.cnf,glucose,sat,442.807
fcc/41-120268.cnf,glucose,sat,380.924
fcc/41-120332.cnf,glucose,sat,185.476
fcc/41-120336.cnf,glucose,sat,471.188
fcc/41-120345.cnf,glucose,sat,445.64
fcc/41-120362.cnf,glucose,sat,364.156
fcc/41-120403.cnf,glucose,sat,567.99
fcc/41-120405.cnf,glucose,sat,355.2
fcc/41-120446.cnf,glucose,sat,494.657
fcc/41-120455.cnf,glucose,sat,444.376
fcc/41-120475.cnf,glucose,sat,620.125
fcc/41-120516.cnf,glucose,sat,606.571
fcc/41-120517.cnf,glucose,sat,810.808
fcc/41-120549.cnf,glucose,sat,400.123
fcc/41-120554.cnf,glucose,sat,524.495
fcc/41-120579.cnf,glucose,sat,497.539
fcc/41-120619.cnf,glucose,sat,651.27
fcc/41-120632.cnf,glucose,sat,770.392
fcc/41-120658.cnf,glucose,unknown,10000
fcc/41-120748.cnf,glucose,sat,869.592
fcc/41-120838.cnf,glucose,sat,627.411
fcc/41-120860.cnf,glucose,sat,577.016
fcc/41-120892.cnf,glucose,sat,756.717
fcc/41-121081.cnf,glucose,unknown,10000
fcc/41-121206.cnf,glucose,unknown,10000
fcc/41-121357.cnf,glucose,sat,758.029
fcc/41-121380.cnf,glucose,sat,844.016
fcc/41-121673.cnf,glucose,unsat,745.542
fcc/41-121928.cnf,glucose,unsat,468.639
fcc/41-121960.cnf,glucose,sat,945.607
fcc/41-121991.cnf,glucose,sat,937.018
fcc/41-122267.cnf,glucose,unsat,767.615
fcc/41-122918.cnf,glucose,sat,2289.05
fcc/41-123066.cnf,glucose,sat,684.261
fcc/41-123515.cnf,glucose,sat,514.636
