instance,solver,result,PAR2_time
sat2017/g2-ACG-15-10p1.cnf,glucose,sat,693.988
sat2017/g2-ACG-20-10p1.cnf,glucose,sat,1500.9
sat2017/g2-ACG-20-5p1.cnf,glucose,sat,645.829
sat2017/g2-Sz512_15128_1.smt2-cvc4.cnf,glucose,sat,1974.4
sat2017/g2-T1.2.1.cnf,glucose,unknown,10000
sat2017/g2-T100.2.0.cnf,glucose,unknown,10000
sat2017/g2-T101.2.0.cnf,glucose,unknown,10000
sat2017/g2-T102.2.1.cnf,glucose,unknown,10000
sat2017/g2-T103.2.1.cnf,glucose,unknown,10000
sat2017/g2-T104.1.0.cnf,glucose,unknown,10000
sat2017/g2-T105.2.1.cnf,glucose,unknown,10000
sat2017/g2-T106.2.0.cnf,glucose,unknown,10000
sat2017/g2-T108.2.1.cnf,glucose,unknown,10000
sat2017/g2-T109.2.0.cnf,glucose,unsat,3499.56
sat2017/g2-T110.2.1.cnf,glucose,unknown,10000
sat2017/g2-T112.1.0.cnf,glucose,unsat,2743.23
sat2017/g2-T118.2.1.cnf,glucose,unsat,3893.3
sat2017/g2-T122.1.0.cnf,glucose,unsat,1963.15
sat2017/g2-T124.2.0.cnf,glucose,unsat,2573.17
sat2017/g2-T124.2.1.cnf,glucose,unsat,4477.7
sat2017/g2-T133.2.1.cnf,glucose,unknown,10000
sat2017/g2-T135.1.1.cnf,glucose,unsat,1001.41
sat2017/g2-T141.1.0.cnf,glucose,unknown,10000
sat2017/g2-T154.1.0.cnf,glucose,unsat,1188.74
sat2017/g2-T155.1.0.cnf,glucose,unsat,34.0803
sat2017/g2-T169.1.0.cnf,glucose,unknown,10000
sat2017/g2-T169.2.0.cnf,glucose,unknown,10000
sat2017/g2-T49.2.0.cnf,glucose,unknown,10000
sat2017/g2-T50.2.0.cnf,glucose,unknown,10000
sat2017/g2-T55.2.0.cnf,glucose,unsat,94.3464
sat2017/g2-T58.2.0.cnf,glucose,unsat,274.001
sat2017/g2-T65.2.0.cnf,glucose,unsat,496.679
sat2017/g2-T65.2.1.cnf,glucose,unsat,2181.87
sat2017/g2-T75.2.0.cnf,glucose,unsat,407.461
sat2017/g2-T81.2.1.cnf,glucose,unsat,3180.18
sat2017/g2-T83.2.1.cnf,glucose,unsat,1885.67
sat2017/g2-T85.2.1.cnf,glucose,unsat,1709.56
sat2017/g2-T88.2.1.cnf,glucose,unsat,1189.79
sat2017/g2-T89.2.1.cnf,glucose,unsat,1757.71
sat2017/g2-T93.2.1.cnf,glucose,unsat,1457.09
sat2017/g2-T96.1.1.cnf,glucose,unknown,10000
sat2017/g2-T97.2.1.cnf,glucose,unknown,10000
sat2017/g2-T99.2.0.cnf,glucose,unsat,10.378
sat2017/g2-T99.2.1.cnf,glucose,unknown,10000
sat2017/g2-UCG-15-10p1.cnf,glucose,sat,506.224
sat2017/g2-UCG-20-10p1.cnf,glucose,sat,1488.44
sat2017/g2-UCG-20-5p1.cnf,glucose,sat,273.205
sat2017/g2-UR-20-10p1.cnf,glucose,unknown,10000
sat2017/g2-UR-20-5p1.cnf,glucose,sat,501.335
sat2017/g2-UTI-20-10p1.cnf,glucose,sat,436.222
sat2017/g2-UTI-20-5p1.cnf,glucose,sat,222.818
sat2017/g2-ak128astepbg1btisc.cnf,glucose,sat,14.0499
sat2017/g2-ak128astepbg2asisc.cnf,glucose,sat,14.0428
sat2017/g2-ak128astepbg2msaig.cnf,glucose,unknown,10000
sat2017/g2-ak128astepbg2msisc.cnf,glucose,unknown,10000
sat2017/g2-ak128astepmodasaig.cnf,glucose,unknown,10000
sat2017/g2-ak128astepmodbtisc.cnf,glucose,unknown,10000
sat2017/g2-ak128boothbg1btisc.cnf,glucose,sat,6.37148
sat2017/g2-ak128boothbg2asisc.cnf,glucose,sat,1284.06
sat2017/g2-ak128boothbg2msaig.cnf,glucose,unknown,10000
sat2017/g2-ak128boothbg2msisc.cnf,glucose,unknown,10000
sat2017/g2-ak128boothboothisc.cnf,glucose,unknown,10000
sat2017/g2-ak128boothdiagoaig.cnf,glucose,unknown,10000
sat2017/g2-ak128boothmodasaig.cnf,glucose,unknown,10000
sat2017/g2-ak128diagobg1btaig.cnf,glucose,sat,9.7319
sat2017/g2-ak128diagobg2asaig.cnf,glucose,unknown,10000
sat2017/g2-ak128diagodiagoisc.cnf,glucose,unknown,10000
sat2017/g2-ak128modasbg1msisc.cnf,glucose,sat,4.27933
sat2017/g2-ak128modasbg1sbisc.cnf,glucose,sat,4.76456
sat2017/g2-ak128modasmodasisc.cnf,glucose,unknown,10000
sat2017/g2-ak128modbtbg1asaig.cnf,glucose,sat,6.97232
sat2017/g2-ak128modbtbg1asisc.cnf,glucose,sat,2.52953
sat2017/g2-ak128modbtbg1btaig.cnf,glucose,sat,11.5983
sat2017/g2-ak128modbtbg2msisc.cnf,glucose,sat,3790.06
sat2017/g2-ak128modbtsimpbaig.cnf,glucose,unknown,10000
sat2017/g2-ak128paralbg1sbisc.cnf,glucose,sat,4.52977
sat2017/g2-ak128paralbg2asaig.cnf,glucose,unknown,10000
sat2017/g2-ak128paralparalisc.cnf,glucose,unknown,10000
sat2017/g2-ak128paralsimpbaig.cnf,glucose,unknown,10000
sat2017/g2-ak128simpbbg1sbisc.cnf,glucose,sat,4.42751
sat2017/g2-ak128simpbbg2asaig.cnf,glucose,unknown,10000
sat2017/g2-gss-22-s100.cnf,glucose,sat,141.381
sat2017/g2-gss-24-s100.cnf,glucose,unknown,10000
sat2017/g2-gss-26-s100.cnf,glucose,unknown,10000
sat2017/g2-gss-28-s100.cnf,glucose,unknown,10000
sat2017/g2-gss-30-s100.cnf,glucose,unknown,10000
sat2017/g2-gss-32-s100.cnf,glucose,unknown,10000
sat2017/g2-gss-34-s100.cnf,glucose,unknown,10000
sat2017/g2-gss-36-s100.cnf,glucose,unknown,10000
sat2017/g2-gss-38-s100.cnf,glucose,unknown,10000
sat2017/g2-gss-40-s100.cnf,glucose,unknown,10000
sat2017/g2-hwmcc15deep-6s105-k35.cnf,glucose,unsat,1457.03
sat2017/g2-hwmcc15deep-6s161-k17.cnf,glucose,unsat,3409.82
sat2017/g2-hwmcc15deep-6s161-k18.cnf,glucose,unknown,10000
sat2017/g2-hwmcc15deep-6s179-k17.cnf,glucose,unsat,1765.86
sat2017/g2-hwmcc15deep-6s188-k44.cnf,glucose,unsat,1608.55
sat2017/g2-hwmcc15deep-6s188-k46.cnf,glucose,unsat,2548.57
sat2017/g2-hwmcc15deep-6s33-k33.cnf,glucose,unsat,455.354
sat2017/g2-hwmcc15deep-6s33-k34.cnf,glucose,unsat,945.654
sat2017/g2-hwmcc15deep-6s340rb63-k16.cnf,glucose,unsat,61.2588
sat2017/g2-hwmcc15deep-6s340rb63-k22.cnf,glucose,unsat,881.788
sat2017/g2-hwmcc15deep-6s341r-k16.cnf,glucose,unsat,241.918
sat2017/g2-hwmcc15deep-6s341r-k19.cnf,glucose,unsat,637.944
sat2017/g2-hwmcc15deep-6s366r-k72.cnf,glucose,unsat,1135.46
sat2017/g2-hwmcc15deep-6s399b02-k02.cnf,glucose,unknown,10000
sat2017/g2-hwmcc15deep-6s399b03-k02.cnf,glucose,unknown,10000
sat2017/g2-hwmcc15deep-6s44-k38.cnf,glucose,unsat,808.649
sat2017/g2-hwmcc15deep-6s44-k40.cnf,glucose,unsat,1067.23
sat2017/g2-hwmcc15deep-6s516r-k17.cnf,glucose,unsat,1024.4
sat2017/g2-hwmcc15deep-6s516r-k18.cnf,glucose,unsat,3347.51
sat2017/g2-hwmcc15deep-beembkry8b1-k45.cnf,glucose,unsat,1134.25
sat2017/g2-hwmcc15deep-beemcmbrdg7f2-k32.cnf,glucose,unsat,2028.08
sat2017/g2-hwmcc15deep-beemfwt4b1-k48.cnf,glucose,unknown,10000
sat2017/g2-hwmcc15deep-beemhanoi4b1-k32.cnf,glucose,unsat,4080.7
sat2017/g2-hwmcc15deep-beemhanoi4b1-k37.cnf,glucose,unknown,10000
sat2017/g2-hwmcc15deep-beemlifts3b1-k29.cnf,glucose,unsat,4558.64
sat2017/g2-hwmcc15deep-beemloyd3b1-k31.cnf,glucose,unsat,1782.43
sat2017/g2-hwmcc15deep-bob12s02-k16.cnf,glucose,unknown,10000
sat2017/g2-hwmcc15deep-bob12s02-k17.cnf,glucose,unknown,10000
sat2017/g2-hwmcc15deep-bobpcihm-k30.cnf,glucose,unknown,10000
sat2017/g2-hwmcc15deep-bobpcihm-k31.cnf,glucose,unknown,10000
sat2017/g2-hwmcc15deep-bobpcihm-k32.cnf,glucose,unknown,10000
sat2017/g2-hwmcc15deep-bobpcihm-k33.cnf,glucose,unknown,10000
sat2017/g2-hwmcc15deep-intel032-k84.cnf,glucose,unsat,1548.86
sat2017/g2-hwmcc15deep-intel065-k11.cnf,glucose,unsat,992.812
sat2017/g2-hwmcc15deep-intel066-k10.cnf,glucose,unsat,614.451
sat2017/g2-hwmcc15deep-oski15a10b06s-k24.cnf,glucose,unknown,10000
sat2017/g2-hwmcc15deep-oski15a10b08s-k23.cnf,glucose,unsat,4280.64
sat2017/g2-hwmcc15deep-oski15a10b10s-k20.cnf,glucose,unsat,1561.06
sat2017/g2-hwmcc15deep-oski15a10b10s-k22.cnf,glucose,unsat,4834.54
sat2017/g2-hwmcc15deep-oski15a14b04s-k16.cnf,glucose,unsat,3520.67
sat2017/g2-hwmcc15deep-oski15a14b30s-k24.cnf,glucose,unsat,2116.07
sat2017/g2-mizh-md5-47-3.cnf,glucose,sat,1024.58
sat2017/g2-mizh-md5-47-5.cnf,glucose,sat,480.92
sat2017/g2-mizh-md5-48-2.cnf,glucose,sat,682.488
sat2017/g2-mizh-md5-48-5.cnf,glucose,sat,621.72
sat2017/g2-modgen-n200-m90860q08c40-13698.cnf,glucose,sat,616.862
sat2017/g2-modgen-n200-m90860q08c40-16823.cnf,glucose,sat,2391.58
sat2017/g2-modgen-n200-m90860q08c40-29667.cnf,glucose,sat,2589.87
sat2017/g2-modgen-n200-m90860q08c40-3230.cnf,glucose,unknown,10000
sat2017/g2-modgen-n200-m90860q08c40-6967.cnf,glucose,unknown,10000
sat2017/g2-mult1.c.50.smt2-cvc4.cnf,glucose,sat,57.5711
sat2017/g2-newton.8.3.i.smt2-cvc4.cnf,glucose,sat,26.6777
sat2017/g2-slp-synthesis-aes-top24.cnf,glucose,unknown,10000
sat2017/g2-slp-synthesis-aes-top25.cnf,glucose,unknown,10000
sat2017/g2-slp-synthesis-aes-top26.cnf,glucose,unknown,10000
sat2017/g2-slp-synthesis-aes-top28.cnf,glucose,unknown,10000
sat2017/g2-slp-synthesis-aes-top29.cnf,glucose,unknown,10000
sat2017/g2-slp-synthesis-aes-top30.cnf,glucose,unknown,10000
sat2017/g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf,glucose,unsat,322.371
sat2017/g2-test_v7_r7_vr5_c1_s14675.smt2-cvc4.cnf,glucose,sat,62.4866
sat2017/mp1-21.0.cnf,glucose,sat,15.43
sat2017/mp1-21.1.cnf,glucose,sat,80.4914
sat2017/mp1-21.2.cnf,glucose,sat,50.5323
sat2017/mp1-21.3.cnf,glucose,sat,8.81669
sat2017/mp1-21.4.cnf,glucose,sat,177.926
sat2017/mp1-21.5.cnf,glucose,sat,13.2757
sat2017/mp1-21.6.cnf,glucose,sat,37.6428
sat2017/mp1-21.7.cnf,glucose,sat,11.7534
sat2017/mp1-21.8.cnf,glucose,sat,67.404
sat2017/mp1-21.9.cnf,glucose,sat,45.5073
sat2017/mp1-22.0.cnf,glucose,sat,664.158
sat2017/mp1-22.1.cnf,glucose,unknown,10000
sat2017/mp1-22.2.cnf,glucose,unknown,10000
sat2017/mp1-22.3.cnf,glucose,unknown,10000
sat2017/mp1-22.4.cnf,glucose,unknown,10000
sat2017/mp1-22.5.cnf,glucose,sat,414.365
sat2017/mp1-22.6.cnf,glucose,unknown,10000
sat2017/mp1-22.7.cnf,glucose,unknown,10000
sat2017/mp1-22.8.cnf,glucose,unknown,10000
sat2017/mp1-22.9.cnf,glucose,sat,1058.45
sat2017/mp1-23.0.cnf,glucose,unknown,10000
sat2017/mp1-23.1.cnf,glucose,unknown,10000
sat2017/mp1-23.2.cnf,glucose,unknown,10000
sat2017/mp1-23.3.cnf,glucose,unknown,10000
sat2017/mp1-23.4.cnf,glucose,unknown,10000
sat2017/mp1-23.5.cnf,glucose,unknown,10000
sat2017/mp1-23.6.cnf,glucose,unknown,10000
sat2017/mp1-23.7.cnf,glucose,unknown,10000
sat2017/mp1-23.8.cnf,glucose,unknown,10000
sat2017/mp1-24.0.cnf,glucose,unknown,10000
sat2017/mp1-24.1.cnf,glucose,unknown,10000
sat2017/mp1-24.2.cnf,glucose,unknown,10000
sat2017/mp1-24.3.cnf,glucose,unknown,10000
sat2017/mp1-24.4.cnf,glucose,unknown,10000
sat2017/mp1-24.5.cnf,glucose,unknown,10000
sat2017/mp1-24.6.cnf,glucose,unknown,10000
sat2017/mp1-24.7.cnf,glucose,unknown,10000
sat2017/mp1-24.8.cnf,glucose,unknown,10000
sat2017/mp1-24.9.cnf,glucose,unknown,10000
sat2017/mp1-9_1.cnf,glucose,sat,416.056
sat2017/mp1-9_11.cnf,glucose,sat,9.62014
sat2017/mp1-9_12.cnf,glucose,sat,764.955
sat2017/mp1-9_14.cnf,glucose,sat,411.142
sat2017/mp1-9_19.cnf,glucose,unknown,10000
sat2017/mp1-9_21.cnf,glucose,unknown,10000
